HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute/ Data Type,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,PL.1,Point of Care,HD,0,1,,,,[1],,Resource,,,HD[Location],,,,
1,PL.1,Point of Care,HD,0,1,IF PL.5 VALUED,,,[1].status,,code,0,1,CWE[code],,,,"Table 0306 has no suggested values, therefore there is no vocabulary mapping provided"
1,PL.1,Point of Care,HD,0,1,,,,[1].mode,,code,0,1,,,"""instance""",,
1,PL.1,Point of Care,HD,0,1,,,,,"Location[1].physicalType.coding.code=""???""",code,0,1,,,,,
1,PL.1,Point of Care,HD,0,1,,,,[1].physicalType.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
1,PL.1,Point of Care,HD,0,1,,,,,Location[1].partOf.reference=???,Reference{Location),0,1,,,,,
2,PL.2,Room,HD,0,1,,,,[2],,Resource,,,HD[Location],,,,
2,PL.2,Room,HD,0,1,IF PL.5 VALUED,,,[2].status,,code,0,1,CWE[code],,,,"Table 0306 has no suggested values, therefore there is no vocabulary mapping provided"
2,PL.2,Room,HD,0,1,,,,[2].mode,,code,0,1,,,"""instance""",,
2,PL.2,Room,HD,0,1,,,,[2].physicalType.coding.code,,code,0,1,,,"""ro""",,
2,PL.2,Room,HD,0,1,,,,[2].physicalType.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
2,PL.2,Room,HD,0,1,,,,[2].partOf.reference=[1].id,,Reference{Location),0,1,,,,,
3,PL.3,Bed,HD,0,1,,,,[3],,Resource,,,HD[Location],,,,
3,PL.3,Bed,HD,0,1,IF PL.5 VALUED,,,[3].status,,code,0,1,CWE[code],,,,"Table 0306 has no suggested values, therefore there is no vocabulary mapping provided"
3,PL.3,Bed,HD,0,1,,,,[3].mode,,code,0,1,,,"""instance""",,
3,PL.3,Bed,HD,0,1,,,,[3].physicalType.coding.code,,code,0,1,,,"""bd""",,
3,PL.3,Bed,HD,0,1,,,,[3].physicalType.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
3,PL.3,Bed,HD,0,1,,,,[3].partOf.reference=[2].id,,Reference{Location),0,1,,,,,
4,PL.4,Facility,HD,0,1,,,,[4],,Resource,,,HD[Location],,,,
4,PL.4,Facility,HD,0,1,,,,[4].status,,code,0,1,CWE[code],,,,
4,PL.4,Facility,HD,0,1,,,,[4].mode,,code,0,1,,,"""instance""",,
4,PL.4,Facility,HD,0,1,,,,[4].physicalType.coding.code,,code,0,1,,,"""si""",,
4,PL.4,Facility,HD,0,1,,,,[4].physicalType.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
5,PL.5,Location Status,IS,0,1,,,,,,,,,,,,,
6,PL.6,Person Location Type,IS,0,1,,,,,,,,,,,,,
7,PL.7,Building,HD,0,1,,,,[5],,Resource,,,HD[Location],,,,
7,PL.7,Building,HD,0,1,IF PL.5 VALUED,,,[5].status,,code,0,1,CWE[code],,,,
7,PL.7,Building,HD,0,1,,,,[5].mode,,code,0,1,,,"""instance""",,
7,PL.7,Building,HD,0,1,,,,[5].physicalType.coding.code,,code,0,1,,,"""bu""",,
7,PL.7,Building,HD,0,1,,,,[5].physicalType.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
7,PL.7,Building,HD,0,1,,,,[5].partOf.reference=[4].id,,Reference{Location),0,1,,,,,
8,PL.8,Floor,HD,0,1,,,,[6],,Resource,,,HD[Location],,,,
8,PL.8,Floor,HD,0,1,IF PL.5 VALUED,,,[6].status,,code,0,1,CWE[code],,,,
8,PL.8,Floor,HD,0,1,,,,[6].mode,,code,0,1,,,"""instance""",,
8,PL.8,Floor,HD,0,1,,,,[6].physicalType.coding.code,,code,0,1,,,"""lvl""",,
8,PL.8,Floor,HD,0,1,,,,[6].physicalType.coding.system,,uri,0,1,,,"""http://terminology.hl7.org/CodeSystem/location-physical-type""",,
8,PL.8,Floor,HD,0,1,,,,[6].partOf.reference=[5].id,,Reference{Location),0,1,,,,,
9,PL.9,Location Description,ST,0,1,,,,,,,,,,,,,
10,PL.10,Comprehensive Location Identifier,EI,0,1,,,,,,,,,,,,,
11,PL.11,Assigning Authority for Location,HD,0,1,,,,,,,,,,,,,
