HL7 v2,,,,,,Condition (IF True),,,HL7 FHIR,,,,,,,,,Comments
Sort Order,Identifier,Name,Data Type,Cardinality - Min,Cardinality - Max,Computable ANTLR,Computable FHIRPath,Narrative,FHIR Attribute,,Data Type,Cardinality - Min,Cardinality - Max,Data Type Mapping,"Vocabulary Mapping
(IS, ID, CE, CNE, CWE)",Assignment,,
1,ROL-1,Role Instance ID,EI,0,1,,,,,,,,,,,,,
2,ROL-2,Action Code,ID,0,1,,,,,,,,,,,,,
3,ROL-3,Role-ROL,CWE,0,1,,,,participant.role[1],,CodeableConcept,0,-1,CWE[CodeableConcept],ProviderRole,,,
4,ROL-4,Role Person,XCN,0,-1,,,Depending on ROL-3,participant.member(Practitioner[1]),,Reference,0,1,XCN[Practitioner],,,,
4,ROL-4,Role Person,XCN,0,-1,,,Depending on ROL-3,participant.member(Patient[1]),,Reference,0,1,XCN[Patient],,,,
4,ROL-4,Role Person,XCN,0,-1,,,Depending on ROL-3,participant.member(RelatedPerson[1]),,Reference,0,1,XCN[RelatedPerson],,,,
5,ROL-5,Role Begin Date/Time,DTM,0,1,,,,participant.period.start,,DateTime,0,1,DTM[DateTime],,,,
6,ROL-6,Role End Date/Time,DTM,0,1,,,,participant.period.end,,DateTime,0,1,DTM[DateTime],,,,
7,ROL-7,Role Duration,CWE,0,1,,,,,participant.period.extension??-duration,decimal,0,1,CWE[CodeableConcept],,,,
8,ROL-8,Role Action Reason,CWE,0,1,,,,reasonCode,,CodeableConcept,0,-1,CWE[CodeableConcept],,,,
9,ROL-9,Provider Type,CWE,0,-1,,,,participant.role[2],,CodeableConcept,0,-1,CWE[CodeableConcept],,,,
10,ROL-10,Organization Unit Type,CWE,0,1,IF ROL-4 VALUED,,,participant.onBehalfOf(Organization[1]),,Reference,0,1,CWE[CodeableConcept],,,,
10,ROL-10,Organization Unit Type,CWE,0,1,IF ROL-4 NOT VALUED,,,participant.member(Organization[1].type),,CodeableConcept,0,1,CWE[CodeableConcept],ParticipantOrganizationUnitType,,,
11,ROL-11,Office/Home Address/Birthplace,XAD,0,-1,,,,,,,,,,,,,
12,ROL-12,Phone,XTN,0,-1,,,,telecom,,ContactPoint,0,-1,XTN[ContactPoint],,,,
13,ROL-13,Person's Location,PL,0,1,,,,,,,,,,,,,"Unclear yet how we can map to Encounter location, but when part of a care team ROL-11 would be used, not the physical location while in the hospital."
14,ROL-14,Organization,XON,0,1,IF ROL-4 VALUED,,,participant.onBehalfOf(Organization[1]),,Reference,,,XON[Organization],,,,
14,ROL-14,Organization,XON,0,1,IF ROL-4 NOT VALUED,,,participant.member(Organization[1]),,Reference,,,XON[Organization],,,,
